Id,Type,Name,Regular price,Parent,Attribute 0 Name,Attribute 0 value(s),Attribute 0 global,Attribute 1 Name,Attribute 1 value(s),Attribute 1 global,Attribute 2 Name,Attribute 2 value(s),Attribute 2 global
108,Variable,MM-1CR-EX,0,,Actuator,"80 TPI Thumbscrew (standard), Headless Lead Screw, Thumb Grip",1,Vacuum Compatibility,"10^-3 Torr, 10^-6 Torr",1,Axis,"Single Axis (X), Dual Axis-Flat (XY), Dual Axis-Edge Mount (XZ), Three Axis (XYZ)",1
,Variation,MM-1CR-EX,283,id:108,Actuator,80 TPI Thumbscrew (standard),1,Vacuum Compatibility,10^-3 Torr,1,Axis,Single Axis (X),1
,Variation,MM-1CR-EX,569,id:108,Actuator,80 TPI Thumbscrew (standard),1,Vacuum Compatibility,10^-3 Torr,1,Axis,Dual Axis-Flat (XY),1
,Variation,MM-1CR-EX,616,id:108,Actuator,80 TPI Thumbscrew (standard),1,Vacuum Compatibility,10^-3 Torr,1,Axis,Dual Axis-Edge Mount (XZ),1
,Variation,MM-1CR-EX,902,id:108,Actuator,80 TPI Thumbscrew (standard),1,Vacuum Compatibility,10^-3 Torr,1,Axis,Three Axis (XYZ),1
,Variation,MM-1CR-EX,298,id:108,Actuator,80 TPI Thumbscrew (standard),1,Vacuum Compatibility,10^-6 Torr,1,Axis,Single Axis (X),1
,Variation,MM-1CR-EX,584,id:108,Actuator,80 TPI Thumbscrew (standard),1,Vacuum Compatibility,10^-6 Torr,1,Axis,Dual Axis-Flat (XY),1
,Variation,MM-1CR-EX,631,id:108,Actuator,80 TPI Thumbscrew (standard),1,Vacuum Compatibility,10^-6 Torr,1,Axis,Dual Axis-Edge Mount (XZ),1
,Variation,MM-1CR-EX,917,id:108,Actuator,80 TPI Thumbscrew (standard),1,Vacuum Compatibility,10^-6 Torr,1,Axis,Three Axis (XYZ),1
,Variation,MM-1CR-EX,298,id:108,Actuator,Headless Lead Screw,1,Vacuum Compatibility,10^-3 Torr,1,Axis,Single Axis (X),1
,Variation,MM-1CR-EX,584,id:108,Actuator,Headless Lead Screw,1,Vacuum Compatibility,10^-3 Torr,1,Axis,Dual Axis-Flat (XY),1
,Variation,MM-1CR-EX,631,id:108,Actuator,Headless Lead Screw,1,Vacuum Compatibility,10^-3 Torr,1,Axis,Dual Axis-Edge Mount (XZ),1
,Variation,MM-1CR-EX,917,id:108,Actuator,Headless Lead Screw,1,Vacuum Compatibility,10^-3 Torr,1,Axis,Three Axis (XYZ),1
,Variation,MM-1CR-EX,313,id:108,Actuator,Headless Lead Screw,1,Vacuum Compatibility,10^-6 Torr,1,Axis,Single Axis (X),1
,Variation,MM-1CR-EX,599,id:108,Actuator,Headless Lead Screw,1,Vacuum Compatibility,10^-6 Torr,1,Axis,Dual Axis-Flat (XY),1
,Variation,MM-1CR-EX,646,id:108,Actuator,Headless Lead Screw,1,Vacuum Compatibility,10^-6 Torr,1,Axis,Dual Axis-Edge Mount (XZ),1
,Variation,MM-1CR-EX,932,id:108,Actuator,Headless Lead Screw,1,Vacuum Compatibility,10^-6 Torr,1,Axis,Three Axis (XYZ),1
,Variation,MM-1CR-EX,298,id:108,Actuator,Thumb Grip,1,Vacuum Compatibility,10^-3 Torr,1,Axis,Single Axis (X),1
,Variation,MM-1CR-EX,584,id:108,Actuator,Thumb Grip,1,Vacuum Compatibility,10^-3 Torr,1,Axis,Dual Axis-Flat (XY),1
,Variation,MM-1CR-EX,631,id:108,Actuator,Thumb Grip,1,Vacuum Compatibility,10^-3 Torr,1,Axis,Dual Axis-Edge Mount (XZ),1
,Variation,MM-1CR-EX,917,id:108,Actuator,Thumb Grip,1,Vacuum Compatibility,10^-3 Torr,1,Axis,Three Axis (XYZ),1
,Variation,MM-1CR-EX,313,id:108,Actuator,Thumb Grip,1,Vacuum Compatibility,10^-6 Torr,1,Axis,Single Axis (X),1
,Variation,MM-1CR-EX,599,id:108,Actuator,Thumb Grip,1,Vacuum Compatibility,10^-6 Torr,1,Axis,Dual Axis-Flat (XY),1
,Variation,MM-1CR-EX,646,id:108,Actuator,Thumb Grip,1,Vacuum Compatibility,10^-6 Torr,1,Axis,Dual Axis-Edge Mount (XZ),1
,Variation,MM-1CR-EX,932,id:108,Actuator,Thumb Grip,1,Vacuum Compatibility,10^-6 Torr,1,Axis,Three Axis (XYZ),1
